,htid,mean_delta,median_delta,improved,worse,same,total
339,wu.89067915140,0.0004534715394447221,0.0,157,158,4,319
200,nyp.33433112009281,0.0005423223239184403,-0.0094205404334363,206,127,1,334
250,uc2.ark:/13960/t1cj8k35t,0.0010950206876421638,-0.01851680301992035,576,239,1,816
183,nyp.33433074853197,0.001166125267521194,-0.009547899235849101,234,169,3,406
124,hvd.hwsszb,0.001369482121674622,0.00017437821739130048,74,85,0,159
11,aeu.ark:/13960/t4xh0n878,0.0015076251187177677,-0.014285714,248,159,0,407
122,hvd.hwkzb2,0.0015095971688949272,-0.011428571,389,239,3,631
344,yul.12354493_000_00,0.002383374760986513,-0.01173047680722895,162,64,2,228
115,hvd.hwiqjl,0.0024247264130994074,-0.015306122,278,116,1,395
26,aeu.ark:/13960/t98634x8k,0.0024621151160791692,-0.0181392717019705,728,313,3,1044
23,aeu.ark:/13960/t8hd90926,0.0027027320856077446,-0.018867925,348,166,0,514
210,pst.000002039961,0.0029877041524864626,-0.0006047415575468514,130,111,1,242
94,hvd.hn1i9s,0.0030121130488547088,-0.014084507,463,221,3,687
285,ucw.ark:/13960/t27952k1f,0.003030291219501727,-0.0064455647515528,102,82,1,185
330,uva.x000534625,0.003055286223996317,-0.013376177950819699,87,40,0,127
103,hvd.hn62t4,0.0040697680826137644,-0.009389671,174,108,1,283
112,hvd.hw3ftz,0.004209972250499003,-0.006699471591681199,90,73,1,164
187,nyp.33433074913751,0.0043396219932866605,1.2265449073067813e-11,80,80,0,160
305,uiug.30112043103396,0.004707218714480179,0.0005566319413679993,106,123,0,229
264,uc2.ark:/13960/t43r0s53m,0.004887362427600845,-0.01297091233576645,439,196,5,640
340,wu.89075346940,0.004906462302314695,-0.0001400563333333986,50,40,3,93
70,hvd.32044018715243,0.004963454195298354,-0.00022145965961949989,70,62,0,132
88,hvd.32044097784581,0.005291312901009291,-0.0063458489508197,188,122,3,313
176,njp.32101068600491,0.005331000417681092,0.0009920637777777012,74,96,1,171
228,uc1.31175034921307,0.0056690238682715445,0.0,354,355,2,711
50,coo1.ark:/13960/t9v12m16x,0.005750893108242889,-0.0138166511276596,315,138,1,454
218,uc1.$b277630,0.006032521641010884,-0.012654013012987101,71,34,0,105
337,wu.89035493394,0.006715045333342928,-0.00021514614285719769,96,78,1,175
288,ucw.ark:/13960/t7wm25t7z,0.00713315160152632,-0.0088477513846154,149,127,0,276
48,coo1.ark:/13960/t8df79j8m,0.0074668994803655875,-0.0158553742288136,365,183,0,548
90,hvd.hn1c42,0.007473439064778994,-0.014925373,106,46,1,153
64,hvd.32044009716374,0.007843973449477381,-0.0155370025945946,86,47,0,133
294,uiug.30112002610001,0.007912053358692259,0.0013888892222221998,63,87,1,151
196,nyp.33433082170238,0.008166059358872428,2.8884250026506297e-10,84,89,1,174
322,umn.31951002364189a,0.008220110794335624,0.0010080645161289967,133,191,1,325
117,hvd.hwjlyw,0.008342618682081355,-0.013129166,827,487,2,1316
219,uc1.$b317869,0.008473754104501869,-0.006099488348759551,278,226,0,504
76,hvd.32044037297033,0.008648240044222601,0.0034632036060606025,88,121,2,211
109,hvd.hnpjl1,0.009400389803056955,-0.015865512121547,107,50,0,157
79,hvd.32044081343576,0.01003688690533052,0.011764705764705799,14,47,0,61
63,hvd.32044009616483,0.01009918932515119,-0.0015905954191821475,140,103,1,244
107,hvd.hn7v1n,0.010488207915541678,-9.523809865741306e-11,85,84,0,169
97,hvd.hn2ns1,0.01064157244319634,-0.008888888777777802,764,473,6,1243
220,uc1.$b317875,0.011278004551980117,4.775828049002895e-10,82,95,1,178
205,osu.32435006444665,0.011469806193885804,-0.009569378,254,182,1,437
20,aeu.ark:/13960/t80k3nj8w,0.011776398968674462,-0.013980764823129302,290,172,1,463
74,hvd.32044024572448,0.011871340453358619,-0.008543541944606499,503,358,4,865
334,uva.x030764992,0.012068690842587172,-0.007312115814351898,438,310,4,752
182,nnc1.cu01364693,0.012269617837769111,-0.010989011,450,331,4,785
120,hvd.hwkyrt,0.012343771396929772,-0.01010101,391,280,0,671
181,nnc1.1002359863,0.012415923778162615,3.5294109995698264e-10,120,130,1,251
216,uc1.$b249614,0.012443762386889446,0.001551389764705799,142,241,2,385
304,uiug.30112042226883,0.012681470402908868,0.0007305932739725997,68,102,2,172
144,mdp.39015006970274,0.012937418371911794,0.0070822854109588995,5,12,0,17
78,hvd.32044051071777,0.013133862783450842,-0.006263289039088,72,51,0,123
192,nyp.33433075935522,0.013376800187426994,-0.006396396729729803,80,60,1,141
203,nyp.33433112055052,0.013548110790631387,0.000609756000000003,122,224,0,346
75,hvd.32044037132834,0.013590889926759588,0.0005375262396693989,119,222,2,343
131,ien.35556021900030,0.014004332427212489,0.00017660066666659938,555,614,4,1173
130,ien.35556006506117,0.014242571453680544,0.000683702070175398,131,260,1,392
244,uc1.c046792719,0.01434307959110769,-0.0034433780924988493,246,179,1,426
123,hvd.hwqsjk,0.01477725018594254,0.00016025633430699886,66,78,0,144
186,nyp.33433074880505,0.015844963979258664,-3.3333339907737347e-10,97,91,1,189
310,uiug.30112076285359,0.015935805084989194,3.937265270759216e-11,499,508,1,1008
221,uc1.$b441005,0.01598937377273245,0.0003048780000000015,301,341,1,643
178,njp.32101068602026,0.01614760756360674,-0.013732283464566897,521,348,6,875
84,hvd.32044086838893,0.016175653035619252,-0.0078264828550725,184,147,1,332
73,hvd.32044022657233,0.01649838414217891,0.00019156806849315,253,333,6,592
8,aeu.ark:/13960/t3pv7419j,0.017249762920825917,-0.012195122,285,140,0,425
98,hvd.hn3h4v,0.017307718431434218,-0.008882141716555849,698,433,7,1138
293,uiug.30112002079181,0.017478940075088042,0.011635519508029947,48,192,0,240
128,iau.31858023970845,0.017719195990046805,0.000405712051282002,199,256,4,459
105,hvd.hn6in3,0.017846095651815407,-0.0110993660232559,282,186,1,469
156,mdp.39015062676112,0.017949446156282505,-0.007093894629293097,265,194,1,460
231,uc1.32106018627353,0.017952092410448067,-0.011627907,70,49,0,119
214,uc1.$b117773,0.01795401542625491,0.0002670087680249995,56,62,0,118
145,mdp.39015014660255,0.01817836773004808,-0.003729217697842348,96,86,0,182
206,osu.32435008516924,0.018747351298240587,0.0007122502307692,162,209,0,371
319,umn.31951002096559w,0.019240602546497728,0.004290786174537903,272,469,2,743
236,uc1.b000973056,0.019420169802712252,-0.0060170810000000005,130,105,0,235
129,iau.31858050004567,0.01944913867408172,0.005052213479262588,126,220,3,349
133,inu.30000105230852,0.019727716624698743,0.0053475934117646964,18,29,0,47
302,uiug.30112041772465,0.01977880164728445,-0.007478632923076996,149,113,1,263
135,inu.32000009367931,0.020198917663823257,0.002397522602797599,51,81,0,132
116,hvd.hwirlj,0.02042021061912947,-0.010872557190476195,271,164,0,435
212,pst.000065109250,0.020527486182543853,0.0024606682424242014,132,311,1,444
312,uiuo.ark:/13960/t0kt1d072,0.0209590232676382,0.0103092787010309,38,49,0,87
157,mdp.39015063939295,0.021469804900054137,-0.007352611113831048,176,139,1,316
311,uiug.30112088988545,0.021884151809704,-0.011363636,260,188,1,449
238,uc1.b3331981,0.02210556440855944,-0.009271067495836047,443,333,0,776
329,uva.x000391215,0.022685001094618778,-0.0070309412777778,239,179,0,418
114,hvd.hwhs2h,0.022705183146235645,-0.014084507,833,470,2,1305
318,umn.31951002088056i,0.02275904294115705,0.0019230770000000022,144,395,0,539
40,coo1.ark:/13960/t2q535m4s,0.022760471232492627,-0.009406801205040151,76,46,0,122
193,nyp.33433076066020,0.023589871001434854,0.0132682626962025,67,135,1,203
102,hvd.hn5zkz,0.02386043959248293,0.0007621950000000002,308,361,0,669
81,hvd.32044086819455,0.025528476382624638,-0.0034084811176471014,208,193,1,402
333,uva.x030446831,0.025719957301815786,0.00037707413725489997,61,76,2,139
93,hvd.hn1hw9,0.025779190423872826,0.000409628485650548,355,401,2,758
307,uiug.30112049756742,0.025805930760017054,0.0016329864927536047,153,283,1,437
113,hvd.hwhs2f,0.026153438133352244,-0.013513514,521,312,1,834
320,umn.319510021857704,0.026329248545018367,0.0015411005943395985,566,1272,4,1842
146,mdp.39015022736519,0.02673622410254013,-0.005847953134503002,247,204,2,453
32,coo.31924013345941,0.026969969433340985,0.0007602160108180992,333,596,1,930
338,wu.89062225495,0.027034455768336973,0.0008502598016059959,80,97,0,177
259,uc2.ark:/13960/t3513vb6c,0.027266190417675126,-0.01017871,93,71,0,164
202,nyp.33433112050640,0.02737523082337116,0.0007225569609849956,150,242,0,392
33,coo.31924013521475,0.02751046595833219,0.010523361233389646,98,338,0,436
234,uc1.aa0014828586,0.027922018353917843,0.0006178661450741973,183,225,4,412
323,umn.319510023980414,0.028065577593468234,0.005247524999999999,83,275,3,361
336,wu.89006965677,0.02856506192649531,0.0022137567323566518,240,424,6,670
295,uiug.30112002696547,0.028838638902161488,-0.004714523331543102,413,335,0,748
298,uiug.30112005622532,0.029073146792961194,2.702700216405951e-11,360,362,1,723
240,uc1.b4104165,0.029272722112439132,-0.0077652578247423,192,141,0,333
326,umn.31951p00927675m,0.029346242352625628,0.00040272027027019736,418,638,7,1063
