,htid,mean_delta,median_delta,improved,worse,same,total
267,uc2.ark:/13960/t5cc0v60d,0.025239986935252784,0.0,9,34,131,174
248,uc2.ark:/13960/t16m3395z,0.02580009107980431,0.0,19,90,311,420
140,mdp.39015004721281,0.03260737246139719,4.117646987267243e-10,31,62,50,143
132,inu.30000105230852,0.033684257273171786,0.0,14,16,16,46
95,hvd.hn1w6l,0.03414036620971655,0.0,174,202,124,500
191,nyp.33433075935522,0.0358573376277854,0.0,41,50,43,134
61,dul1.ark:/13960/t7dr43s8z,0.0393696842233778,0.0,7,33,42,82
339,wu.89075346940,0.04030016248125315,0.0,20,31,36,87
160,mdp.39015071647148,0.041159753072134986,0.0,32,52,43,127
264,uc2.ark:/13960/t47p8x024,0.04303963552770519,0.0,38,254,498,790
341,wu.89098873656,0.04330169937128253,2.3809521021433966e-10,46,111,98,255
266,uc2.ark:/13960/t59c6sd79,0.04376400887267328,0.0,13,87,159,259
329,uva.x000534625,0.04392864265730442,0.0,20,48,57,125
316,umn.31951002083863e,0.04669799574887736,0.0,187,198,48,433
135,inu.32000013013430,0.047552688161294765,0.0,35,43,51,129
136,loc.ark:/13960/t42r4hd44,0.048699914052655655,3.333333019328588e-10,21,79,73,173
72,hvd.32044020295457,0.049313311237315166,0.0,26,159,175,360
106,hvd.hn7v1n,0.05032974183552431,3.636363016257249e-10,28,80,57,165
243,uc1.c046792719,0.05077801231793479,0.0,126,157,135,418
280,uc2.ark:/13960/t8z894d2v,0.05083487991878887,0.0,16,102,200,318
338,wu.89067915140,0.05147147718096077,0.0,99,128,90,317
25,aeu.ark:/13960/t8kd2mr7v,0.051684899653684,0.0,12,168,308,488
155,mdp.39015062676112,0.05225989532708641,0.0,162,168,115,445
141,mdp.39015005368504,0.05238913147750194,8.755754454803366e-11,18,39,37,94
40,coo1.ark:/13960/t2q535m4s,0.053269240938074086,0.009433962287372949,14,58,44,116
221,uc1.$b682853,0.05368349431762879,0.0,214,278,379,871
43,coo1.ark:/13960/t4gm8s24t,0.05377006380799689,0.0,3,47,60,110
19,aeu.ark:/13960/t7zk6n69f,0.05391527858432408,2.3809521021433966e-10,18,140,190,348
