,htid,mean_delta,median_delta,improved,worse,same,total
72,hvd.32044020295457,-0.22938427166232522,-0.24492017416545722,356,9,0,365
167,njp.32101010179917,-0.19604075211549687,-0.2223631246834455,298,12,0,310
35,coo.31924027325814,-0.1766582337810084,-0.22149314001210121,190,14,0,204
269,uc2.ark:/13960/t5q816948,-0.0856639853555151,-0.061764706,316,61,0,377
65,hvd.32044010388106,-0.080015532375229,-0.076923077,977,189,0,1166
194,nyp.33433081553996,-0.07065580682653376,-0.032494946931506896,117,41,1,159
314,uiuo.ark:/13960/t84j1244p,-0.0684332208172594,-0.047619048,893,167,2,1062
150,mdp.39015048838919,-0.0674671530096134,-0.067510549,546,169,0,715
191,nyp.33433075769830,-0.0673192111103958,-0.055452729655914,660,143,1,804
61,dul1.ark:/13960/t7dr43s8z,-0.066599984545706,-0.031513648000000005,57,25,0,82
137,loc.ark:/13960/t42r4hd44,-0.06318079957559261,-0.020000000000000004,137,34,2,173
110,hvd.hw1x79,-0.06231126475768758,-0.026934029048647397,48,26,0,74
119,hvd.hwkqrv,-0.05944943045032298,-0.045454545,833,229,4,1066
166,nc01.ark:/13960/t8jd5nn49,-0.05884918879770234,-0.0454545452727273,574,94,0,668
223,uc1.$b747179,-0.05749044701514675,-0.025985417954545502,190,79,1,270
263,uc2.ark:/13960/t3xs5mq15,-0.05540225535125785,-0.029631255500000002,205,86,1,292
42,coo1.ark:/13960/t3pv7298t,-0.05412792209754275,-0.04,510,83,0,593
170,njp.32101067178929,-0.05227547780898616,-0.047138475950863803,103,45,0,148
3,aeu.ark:/13960/t1jh4v14f,-0.05096989322095787,-0.047169811,154,17,0,171
249,uc2.ark:/13960/t16m3395z,-0.04998472287457738,-0.035714286,370,48,2,420
190,nyp.33433074947098,-0.04997427564672149,-0.028169014,38,17,0,55
268,uc2.ark:/13960/t5cc0v60d,-0.048970123792257285,-0.021544055,153,21,0,174
