,htid,mean_delta,median_delta,improved,worse,same,total
319,umn.319510021857704,-0.0016720741421665727,-0.04761904759523809,1023,563,218,1804
34,coo.31924022004430,0.0016898447877023237,-0.038461538,467,335,83,885
325,umn.31951p00927675m,0.004238928136468362,-0.025641025358974404,567,340,127,1034
326,umn.31951p00999130c,0.007513939648110612,-0.023255813953488386,336,225,108,669
129,ien.35556006506117,0.012132426177208331,-0.0454545454545454,218,107,61,386
317,umn.31951002088056i,0.01245741769669294,-0.027027027027027,275,170,80,525
315,umn.31951002059385c,0.012538277294106967,-2.636816494316907e-10,201,147,74,422
306,uiug.30112049756742,0.013504162216410326,-3.333334025468204e-10,211,162,50,423
73,hvd.32044022657233,0.022551882703487014,0.0,245,238,96,579
320,umn.31951002301766d,0.024555822139712184,0.0,303,267,91,661
67,hvd.32044011872520,0.024567692886207564,-0.025320512679487202,575,432,111,1118
223,uc1.31158001622033,0.02956272427895627,-0.024390244097560996,448,352,75,875
33,coo.31924013521475,0.031006260781475694,0.0,194,191,44,429
130,ien.35556021900030,0.03342920100436478,0.0,493,427,232,1152
104,hvd.hn6gly,0.03450970468474475,0.0,515,511,167,1193
163,mdp.39015088372761,0.0384865885745118,0.0,550,543,231,1324
32,coo.31924013345941,0.04002765297460645,-4.444445020346244e-10,452,337,116,905
202,nyp.33433112055052,0.0444240872417534,-3.333334025468204e-10,159,110,70,339
201,nyp.33433112050640,0.04616363185419341,0.0,163,140,80,383
215,uc1.$b249614,0.046612045727327835,-3.333334025468204e-10,183,114,84,381
227,uc1.31175034921307,0.04848283035550107,0.0,259,242,203,704
314,umn.31951002050418w,0.05065216377367656,-2.8571429944168614e-10,325,278,62,665
31,coo.31924013205285,0.05386552242109235,0.0,440,403,100,943
127,iau.31858023970845,0.06147842090521376,0.0,191,164,97,452
200,nyp.33433112048933,0.06467291280778859,0.0,118,115,67,300
